entry_code,quality,color,density,rust,seedling_vigor,texture,uniformity
0,0.734971091,0.909239569,0.438874011,0.625751777,0.962912153,0.462082404,0.575651228
1,0.607320608,0.270729542,-0.24493308,0.321810154,0.352431226,0.69784221,0.630751337
2,0.599629798,0.492729378,0.446383566,0.622542809,0.755832304,0.428816958,0.589299747
3,0.524737834,0.52876986,0.45066859,0.687495857,0.913740849,0.481949361,0.343270765
4,0.510728117,0.041446172,0.086953405,-0.004895689,-0.579768115,-0.035209525,-0.148109746
5,0.488024193,-0.198160355,0.082647771,0.701733557,1.056321989,0.221547319,0.332470465
6,0.450585308,-0.079810723,-0.039162394,-0.302602362,-0.724804981,-0.09133656,-0.405338239
7,0.421407952,0.118128465,0.220928028,0.127709476,-0.818669773,-0.309170675,-0.441424418
8,0.418212073,-0.861410756,0.101405789,-1.139435187,-1.382172366,0.06949228,0.188980141
9,0.412731943,-1.266660079,-0.158115764,-0.938245552,-2.137737628,-1.078631732,-1.112006055
10,0.411119344,0.625224371,-0.14389683,0.792217896,-0.277680452,-0.005123954,-0.541346206
11,0.395694768,0.618976556,0.320064722,0.519423625,0.58584182,0.343292365,0.384402998
12,0.37596276,1.099107662,0.051562322,0.715103104,-0.001367029,0.257611086,0.31151169
13,0.374783161,-0.031807034,0.143613598,-0.118550574,-0.362414709,-0.347067278,-0.500350241
14,0.370309638,1.559044383,-0.189886596,1.026330364,1.087292034,0.713590018,0.930867294
15,0.364708094,-1.392652498,-0.484331346,0.105661426,-1.100533777,0.112237939,-0.439312444
16,0.360586495,-0.412261949,0.424903223,-0.57537008,-0.929067707,-0.094845867,-0.599570666
17,0.342441099,-0.870966408,-0.337748029,-1.278636266,-0.412224563,-0.380939723,-0.12339609
18,0.336147546,0.824222651,-0.068788959,0.478858977,0.316544014,0.018911753,0.042331092
19,0.303087119,-1.154412678,0.0530388,-0.175492643,-0.078840372,0.118558459,0.302238946
20,0.298945131,-0.635139921,-0.245066531,-1.145946565,-0.294676758,-0.217988156,-0.555876242
21,0.283844656,0.574416801,0.101235804,0.00209087,-0.515613619,-0.565738229,-0.739631473
22,0.244267153,-1.155966773,0.398883962,-0.381661116,-0.920738426,-0.574099776,-0.367110053
23,0.243654179,0.369563062,0.005882378,-0.182452444,-1.118593783,-0.537288896,-1.160664905
24,0.221764252,0.668010762,-0.076795346,0.642585788,0.480914042,0.175391905,-0.075426488
25,0.214792039,-1.039359595,-0.130408861,-0.743731293,-0.354557107,-0.085280849,0.081281912
26,0.204778629,0.889093928,-0.029180462,0.570634688,0.630472937,0.29967333,0.007556977
27,0.159262482,0.44218733,0.494415159,0.511941407,0.63009874,0.151178522,0.676670421
28,0.157200829,-0.357613936,-0.156169556,0.089842443,-0.901006788,-0.717530336,-0.876799705
29,0.155187039,0.204513607,0.128326702,0.276798524,0.080534008,0.300851045,-0.024186487
30,0.146659132,-0.144542295,-0.024252766,-0.500662624,-0.721462094,-0.181935092,-0.459708594
31,0.126454801,-0.341592205,0.098735546,-0.612518779,-1.361489769,-0.451832886,-0.810732704
32,0.119244403,-0.422203699,0.075836258,0.356707712,-0.754139789,-0.171873078,-0.547740555
33,0.10017066,0.169759883,0.03554859,0.215211156,0.75010254,0.075299007,-0.46030175
34,0.087561246,0.570451899,0.149960716,0.206735205,0.706162614,0.313546804,0.0755443
