PLT_ID,TRAIT,DATE,QUALITY,ENTRY_CODE,ENTRY_NAME,COMP,RATER,ROW,COL,PLOC_CODE,YEAR,MONTH,RATING_EVENT,RATING_EVENT_CODE,MONTH_CODE,YEAR_CODE,TEST_LOC
101,Turf Quality,3/1/18,5,22,BAR PP 79366,Barenbrug Research,GLM,1,1,1,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
225,Turf Quality,3/1/18,5,25,BAR PP 7236V,Barenbrug Research,GLM,7,7,114,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
175,Turf Quality,3/1/18,5,82,Electric (PST-K11-118),Pure Seed Testing Inc.,GLM,3,5,75,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
345,Turf Quality,3/1/18,6,25,BAR PP 7236V,Barenbrug Research,GLM,9,13,223,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
289,Turf Quality,3/1/18,5,89,PST-T14-39,Pure Seed Testing Inc.,GLM,2,10,177,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
138,Turf Quality,3/1/18,5,44,Blue Devil,Columbia Seeds,GLM,2,3,38,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
227,Turf Quality,3/1/18,6,27,Barserati (BAR PP 110358),Barenbrug Research,GLM,9,7,116,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
244,Turf Quality,3/1/18,5,44,Blue Devil,Columbia Seeds,GLM,11,8,133,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
381,Turf Quality,3/1/18,5,47,Star (GO-2628),Grassland Oregon,GLM,9,15,258,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
337,Turf Quality,3/1/18,5,44,Blue Devil,Columbia Seeds,GLM,1,13,215,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
139,Turf Quality,3/1/18,6,71,A10-280,Mountain View Seeds,GLM,3,3,39,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
318,Turf Quality,3/1/18,4,82,Electric (PST-K11-118),Pure Seed Testing Inc.,GLM,18,11,196,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
271,Turf Quality,3/1/18,5,71,A10-280,Mountain View Seeds,GLM,17,9,160,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
338,Turf Quality,3/1/18,5,71,A10-280,Mountain View Seeds,GLM,2,13,216,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
105,Turf Quality,3/1/18,5,89,PST-T14-39,Pure Seed Testing Inc.,GLM,5,1,5,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
140,Turf Quality,3/1/18,5,9,AKB3128,Pennington Seed,GLM,4,3,40,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
174,Turf Quality,3/1/18,6,47,Star (GO-2628),Grassland Oregon,GLM,2,5,74,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
209,Turf Quality,3/1/18,5,9,AKB3128,Pennington Seed,GLM,10,6,98,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
386,Turf Quality,3/1/18,5,9,AKB3128,Pennington Seed,GLM,14,15,263,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
141,Turf Quality,3/1/18,5,80,Paloma (PST-K13-139),Pure Seed Testing Inc.,GLM,5,3,41,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
326,Turf Quality,3/1/18,5,65,A16-7,Mountain View Seeds,GLM,11,12,204,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
280,Turf Quality,3/1/18,5,80,Paloma (PST-K13-139),Pure Seed Testing Inc.,GLM,11,10,169,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
315,Turf Quality,3/1/18,5,80,Paloma (PST-K13-139),Pure Seed Testing Inc.,GLM,15,11,193,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
247,Turf Quality,3/1/18,5,47,Star (GO-2628),Grassland Oregon,GLM,8,8,136,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
356,Turf Quality,3/1/18,5,24,BAR PP 7K426,Barenbrug Research,GLM,17,14,233,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
224,Turf Quality,3/1/18,5,24,BAR PP 7K426,Barenbrug Research,GLM,6,7,113,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
136,Turf Quality,3/1/18,5,24,BAR PP 7K426,Barenbrug Research,GLM,1,2,36,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
288,Turf Quality,3/1/18,5,88,Midnight,Standard,GLM,3,10,176,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
339,Turf Quality,3/1/18,5,88,Midnight,Standard,GLM,3,13,217,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
268,Turf Quality,3/1/18,5,68,PPG-KB 1320,Mountain View Seeds,GLM,14,9,157,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
132,Turf Quality,3/1/18,5,35,Orion (PST-K13-143),Pure Seed Testing Inc.,GLM,5,2,32,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
235,Turf Quality,3/1/18,5,35,Orion (PST-K13-143),Pure Seed Testing Inc.,GLM,17,7,124,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
178,Turf Quality,3/1/18,5,68,PPG-KB 1320,Mountain View Seeds,GLM,6,5,77,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
372,Turf Quality,3/1/18,5,35,Orion (PST-K13-143),Pure Seed Testing Inc.,GLM,1,14,249,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
106,Turf Quality,3/1/18,5,15,After Midnight,Jacklin Seed by Simplot,GLM,6,1,6,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
133,Turf Quality,3/1/18,5,87,PST-K15-172,Pure Seed Testing Inc.,GLM,4,2,33,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
189,Turf Quality,3/1/18,5,27,Barserati (BAR PP 110358),Barenbrug Research,GLM,17,5,88,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
287,Turf Quality,3/1/18,5,87,PST-K15-172,Pure Seed Testing Inc.,GLM,4,10,175,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
340,Turf Quality,3/1/18,5,2,A13-1,Landmark Turf & Native Seed,GLM,4,13,218,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
377,Turf Quality,3/1/18,4,87,PST-K15-172,Pure Seed Testing Inc.,GLM,5,15,254,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
134,Turf Quality,3/1/18,5,72,Shamrock,Standard,GLM,3,2,34,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
202,Turf Quality,3/1/18,5,2,A13-1,Landmark Turf & Native Seed,GLM,17,6,91,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
272,Turf Quality,3/1/18,5,72,Shamrock,Standard,GLM,18,9,161,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
379,Turf Quality,3/1/18,5,72,Shamrock,Standard,GLM,7,15,256,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
135,Turf Quality,3/1/18,5,50,DLFPS-340/3446,DLF Pickseed USA,GLM,2,2,35,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
176,Turf Quality,3/1/18,5,2,A13-1,Landmark Turf & Native Seed,GLM,4,5,76,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
250,Turf Quality,3/1/18,5,50,DLFPS-340/3446,DLF Pickseed USA,GLM,5,8,139,2018,Mar,GLM-2018-03-01,1,7,1,"Raleigh, NC"
