PLT_ID,TRAIT,DATE,QUALITY,ENTRY_CODE,ENTRY_NAME,COMP,RATER,ROW,COL,PLOC_CODE,YEAR,MONTH,RATING_EVENT,RATING_EVENT_CODE,MONTH_CODE,YEAR_CODE,TEST_LOC
101,Turf Quality,5/24/18,6,37,NAI-14-132,Columbia River Seed,EWA,1,1,1,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
102,Turf Quality,5/24/18,5,41,Heartland (NAI-14-187),Columbia River Seed,EWA,1,2,2,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
103,Turf Quality,5/24/18,4,88,Midnight,Standard,EWA,1,3,3,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
104,Turf Quality,5/24/18,6,25,BAR PP 7236V,Barenbrug Research,EWA,1,4,4,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
105,Turf Quality,5/24/18,6,1,A11-40,Landmark Turf & Native Seed,EWA,1,5,5,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
106,Turf Quality,5/24/18,5,36,NAI-14-128,Columbia River Seed,EWA,1,6,6,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
107,Turf Quality,5/24/18,7,47,Star (GO-2628),Grassland Oregon,EWA,1,7,7,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
108,Turf Quality,5/24/18,6,8,Babe,Seeds Inc.,EWA,1,8,8,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
109,Turf Quality,5/24/18,8,7,Selway,Seeds Inc.,EWA,1,9,9,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
110,Turf Quality,5/24/18,6,34,NAI-14-122,Columbia River Seed,EWA,1,10,10,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
111,Turf Quality,5/24/18,6,71,A10-280,Mountain View Seeds,EWA,1,11,11,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
112,Turf Quality,5/24/18,3,16,J-1138,Jacklin Seed by Simplot,EWA,1,12,12,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
113,Turf Quality,5/24/18,6,13,KH3492,Pennington Seed,EWA,1,13,13,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
114,Turf Quality,5/24/18,7,50,DLFPS-340/3446,DLF Pickseed USA,EWA,1,14,14,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
115,Turf Quality,5/24/18,4,30,Twilight (NAI-13-132),SiteOne Landscape Supply,EWA,1,15,15,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
116,Turf Quality,5/24/18,6,53,DLFPS-340/3494,DLF Pickseed USA,EWA,1,16,16,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
117,Turf Quality,5/24/18,5,82,Electric (PST-K11-118),Pure Seed Testing Inc.,EWA,1,17,17,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
118,Turf Quality,5/24/18,5,63,MVS-130,Mountain View Seeds,EWA,1,18,18,2018,May,EWA-2018-05-24,1,4,1,"St. Paul, MN"
