TRAIT,DATE,QUALITY,ENTRY_CODE,ENTRY_NAME,COMP,RATER,ROW,COL,PLOC_CODE,YEAR,MONTH,RATING_EVENT,RATING_EVENT_CODE,MONTH_CODE,YEAR_CODE,TEST_LOC
Turf Quality,10/1/18,4,1,A11-40,Landmark Turf & Native Seed,APC,9,1,1,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,83,Dublin (PST-K15-157),Pure Seed Testing Inc.,APC,9,8,247,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,59,DLFPS-340/3455,DLF Pickseed USA,APC,7,3,175,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,30,Twilight (NAI-13-132),SiteOne Landscape Supply,APC,12,10,89,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,58,DLFPS-340/3444,DLF Pickseed USA,APC,19,5,174,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,7,Selway,Seeds Inc.,APC,10,7,20,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,30,Twilight (NAI-13-132),SiteOne Landscape Supply,APC,27,2,90,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,83,Dublin (PST-K15-157),Pure Seed Testing Inc.,APC,18,3,248,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,58,DLFPS-340/3444,DLF Pickseed USA,APC,15,3,173,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,58,DLFPS-340/3444,DLF Pickseed USA,APC,7,9,172,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,31,NAI-15-80,SiteOne Landscape Supply,APC,7,7,91,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,57,DLFPS-340/3548,DLF Pickseed USA,APC,27,6,171,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,31,NAI-15-80,SiteOne Landscape Supply,APC,13,10,92,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,7,Selway,Seeds Inc.,APC,1,3,19,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,83,Dublin (PST-K15-157),Pure Seed Testing Inc.,APC,22,2,249,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,57,DLFPS-340/3548,DLF Pickseed USA,APC,15,4,170,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,31,NAI-15-80,SiteOne Landscape Supply,APC,22,4,93,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,57,DLFPS-340/3548,DLF Pickseed USA,APC,3,4,169,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,32,Blue Gem (NAI-13-9),Columbia River Seed,APC,8,3,94,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,6,RAD 553,Seeds Inc.,APC,24,9,18,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,84,PST-11-7,DLF Pickseed USA,APC,7,8,250,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,56,DLFPS-340/3549,DLF Pickseed USA,APC,19,3,168,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,32,Blue Gem (NAI-13-9),Columbia River Seed,APC,13,9,95,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,56,DLFPS-340/3549,DLF Pickseed USA,APC,15,5,167,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,30,Twilight (NAI-13-132),SiteOne Landscape Supply,APC,5,6,88,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,32,Blue Gem (NAI-13-9),Columbia River Seed,APC,24,3,96,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,7,Selway,Seeds Inc.,APC,26,6,21,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,29,Jersey (NAI-A16-3),Novel AG Inc.,APC,27,1,87,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,27,Barserati (BAR PP 110358),Barenbrug Research,APC,2,3,79,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,9,AKB3128,Pennington Seed,APC,2,10,25,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,62,DLFPS-340/3552,DLF Pickseed USA,APC,1,6,184,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,27,Barserati (BAR PP 110358),Barenbrug Research,APC,12,7,80,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,81,PST-K13-141,Pure Seed Testing Inc.,APC,24,10,243,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,61,DLFPS-340/3551,DLF Pickseed USA,APC,20,9,183,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,27,Barserati (BAR PP 110358),Barenbrug Research,APC,19,4,81,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,8,Babe,Seeds Inc.,APC,19,1,24,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,61,DLFPS-340/3551,DLF Pickseed USA,APC,16,1,182,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,28,RAD-1776,Barenbrug Research,APC,6,3,82,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,82,Electric (PST-K11-118),Pure Seed Testing Inc.,APC,2,2,244,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,61,DLFPS-340/3551,DLF Pickseed USA,APC,4,4,181,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,28,RAD-1776,Barenbrug Research,APC,12,8,83,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,8,Babe,Seeds Inc.,APC,10,8,23,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,60,DLFPS-340/3550,DLF Pickseed USA,APC,25,7,180,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,28,RAD-1776,Barenbrug Research,APC,23,8,84,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,82,Electric (PST-K11-118),Pure Seed Testing Inc.,APC,18,2,245,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,60,DLFPS-340/3550,DLF Pickseed USA,APC,15,1,179,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,29,Jersey (NAI-A16-3),Novel AG Inc.,APC,1,8,85,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,60,DLFPS-340/3550,DLF Pickseed USA,APC,3,3,178,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,8,Babe,Seeds Inc.,APC,9,4,22,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,29,Jersey (NAI-A16-3),Novel AG Inc.,APC,12,9,86,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,59,DLFPS-340/3455,DLF Pickseed USA,APC,20,6,177,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,59,DLFPS-340/3455,DLF Pickseed USA,APC,15,2,176,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,6,RAD 553,Seeds Inc.,APC,10,6,17,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,84,PST-11-7,DLF Pickseed USA,APC,18,4,251,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,56,DLFPS-340/3549,DLF Pickseed USA,APC,2,6,166,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,36,NAI-14-128,Columbia River Seed,APC,8,4,106,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,4,Syrah (LTP-11-41),Lebanon Seaboard Corp.,APC,19,8,12,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,52,DLFPS-340/3553,DLF Pickseed USA,APC,15,9,155,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,36,NAI-14-128,Columbia River Seed,APC,13,5,107,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,86,New Moon (PST-K15-177),Pure Seed Testing Inc.,APC,18,6,257,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,52,DLFPS-340/3553,DLF Pickseed USA,APC,9,9,154,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,36,NAI-14-128,Columbia River Seed,APC,21,2,108,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,4,Syrah (LTP-11-41),Lebanon Seaboard Corp.,APC,10,4,11,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,51,DLFPS-340/3556,DLF Pickseed USA,APC,23,10,153,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,37,NAI-14-132,Columbia River Seed,APC,4,8,109,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,86,New Moon (PST-K15-177),Pure Seed Testing Inc.,APC,27,5,258,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,51,DLFPS-340/3556,DLF Pickseed USA,APC,15,10,152,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,37,NAI-14-132,Columbia River Seed,APC,13,4,110,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,51,DLFPS-340/3556,DLF Pickseed USA,APC,1,1,151,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,4,Syrah (LTP-11-41),Lebanon Seaboard Corp.,APC,6,1,10,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,37,NAI-14-132,Columbia River Seed,APC,26,3,111,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,87,PST-K15-172,Pure Seed Testing Inc.,APC,1,4,259,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,50,DLFPS-340/3446,DLF Pickseed USA,APC,19,2,150,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,38,Amaze (NAI-14-133),Columbia River Seed,APC,9,7,112,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,50,DLFPS-340/3446,DLF Pickseed USA,APC,14,10,149,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,38,Amaze (NAI-14-133),Columbia River Seed,APC,13,3,113,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,3,A99-2897,Turf Merchants Inc.,APC,20,5,9,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,50,DLFPS-340/3446,DLF Pickseed USA,APC,5,1,148,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,52,DLFPS-340/3553,DLF Pickseed USA,APC,20,7,156,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,86,New Moon (PST-K15-177),Pure Seed Testing Inc.,APC,5,5,256,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,53,DLFPS-340/3494,DLF Pickseed USA,APC,5,4,157,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,35,Orion (PST-K13-143),Pure Seed Testing Inc.,APC,27,4,105,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,33,United (NAI-13-14),Columbia River Seed,APC,4,7,97,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,55,DLFPS-340/3438,DLF Pickseed USA,APC,27,9,165,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,33,United (NAI-13-14),Columbia River Seed,APC,13,8,98,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,6,RAD 553,Seeds Inc.,APC,7,5,16,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,84,PST-11-7,DLF Pickseed USA,APC,23,7,252,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,55,DLFPS-340/3438,DLF Pickseed USA,APC,15,6,164,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,33,United (NAI-13-14),Columbia River Seed,APC,26,7,99,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,85,PST-K15-167,Pure Seed Testing Inc.,APC,7,1,253,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,55,DLFPS-340/3438,DLF Pickseed USA,APC,7,4,163,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,34,NAI-14-122,Columbia River Seed,APC,5,2,100,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,5,Blue Knight,Ledeboer Plant Breeding,APC,23,5,15,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,62,DLFPS-340/3552,DLF Pickseed USA,APC,16,2,185,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,54,DLFPS-340/3500,DLF Pickseed USA,APC,22,6,162,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
