ENTRY_NAME,EFF_LMM,STD_LMM,Z_LMM,P_LMM,2.5LMM,97.5LMM,TEST_LOC,EFF_RSM,2.5RSM,97.5RSM,STD_RSM
A10-280,0.342,0.140,2.446,0.014,0.068,0.616,"Raleigh, NC",0.631,0.257,0.998,0.223
A11-26,-0.026,0.140,-0.188,0.851,-0.300,0.248,"Raleigh, NC",0.332,-0.064,0.728,0.234
A11-38,-1.412,0.140,-10.098,0.000,-1.686,-1.138,"Raleigh, NC",-1.161,-1.549,-0.768,0.246
A11-40,-0.658,0.140,-4.704,0.000,-0.932,-0.384,"Raleigh, NC",-0.097,-0.502,0.283,0.217
A12-34,-0.623,0.140,-4.453,0.000,-0.897,-0.349,"Raleigh, NC",-0.276,-0.664,0.111,0.204
A13-1,0.026,0.140,0.188,0.851,-0.248,0.300,"Raleigh, NC",0.285,-0.089,0.652,0.195
A15-6,0.386,0.140,2.760,0.006,0.112,0.660,"Raleigh, NC",0.415,0.027,0.813,0.203
A16-1,-0.509,0.140,-3.638,0.000,-0.783,-0.235,"Raleigh, NC",-0.339,-0.717,0.067,0.223
A16-17,-0.175,0.140,-1.254,0.210,-0.450,0.099,"Raleigh, NC",-0.019,-0.381,0.343,0.185
A16-2,-0.509,0.140,-3.638,0.000,-0.783,-0.235,"Raleigh, NC",-0.215,-0.628,0.188,0.220
A16-7,-0.500,0.140,-3.575,0.000,-0.774,-0.226,"Raleigh, NC",-0.180,-0.551,0.198,0.215
A99-2897,-0.079,0.140,-0.565,0.572,-0.353,0.195,"Raleigh, NC",0.374,-0.025,0.793,0.230
AKB3128,0.105,0.140,0.753,0.452,-0.169,0.379,"Raleigh, NC",0.042,-0.338,0.421,0.218
AKB3179,-0.658,0.140,-4.704,0.000,-0.932,-0.384,"Raleigh, NC",-0.541,-0.912,-0.161,0.196
AKB3241,-0.833,0.140,-5.959,0.000,-1.107,-0.559,"Raleigh, NC",-0.651,-1.021,-0.255,0.215
